"plant_id","gsw","disease_score"
"F1A_0_1",0.390691,4
"F1A_0_1",0.426157,4
"F1A_0_1",0.395731,4
"F1A_0_2",0.417941,4
"F1A_0_2",0.45235,4
"F1A_0_2",0.484288,4
"F1A_0_3",0.124708,4
"F1A_0_3",0.098626,4
"F1A_0_3",0.135645,4
"F1A_0_4",0.530878,4
"F1A_0_4",0.627688,4
"F1A_0_4",0.586249,4
"F1A_0_5",0.625932,4
"F1A_0_5",0.531699,4
"F1A_0_5",0.69945,4
"F1A_0_6",0.496465,4
"F1A_0_6",0.407414,4
"F1A_0_6",0.230025,4
"F1A_0_7",0.795406,4
"F1A_0_7",0.677311,4
"F1A_0_7",0.662424,4
"F1A_0_8",0.129092,4
"F1A_0_8",0.374265,4
"F1A_0_8",0.256232,4
"F1A_0_9",0.9131,4
"F1A_0_9",0.785516,4
"F1A_0_9",0.821268,4
"F1A_1_10",1.030846,4
"F1A_1_10",0.691234,4
"F1A_1_10",0.757938,4
"F1A_1_11",0.224463,4
"F1A_1_11",0.206717,4
"F1A_1_11",0.208008,4
"F1A_1_12",0.680174,4
"F1A_1_12",0.734491,4
"F1A_1_12",0.670709,4
"F1A_1_3",0.685012,4
"F1A_1_3",0.661116,4
"F1A_1_3",0.744638,4
"F1A_1_4",0.270084,4
"F1A_1_4",0.35012,4
"F1A_1_4",0.329406,4
"F1A_1_5",0.352771,4
"F1A_1_5",0.412866,4
"F1A_1_5",0.334923,4
"F1A_1_7",1.021266,4
"F1A_1_7",0.919864,4
"F1A_1_7",1.10643,4
"F1A_1_8",0.398876,4
"F1A_1_8",0.355043,4
"F1A_1_8",0.348626,4
"F1A_10_10",0.451447,4
"F1A_10_10",0.792112,4
"F1A_10_10",0.415759,4
"F1A_10_10",0.778035,4
"F1A_10_10",0.36823,4
"F1A_10_10",0.843442,4
"F1A_10_11",0.387538,4
"F1A_10_11",0.387648,4
"F1A_10_11",0.230835,4
"F1A_10_11",0.36462,4
"F1A_10_11",0.358572,4
"F1A_10_11",0.429722,4
"F1A_10_12",0.684914,4
"F1A_10_12",0.583356,4
"F1A_10_12",0.622172,4
"F1A_10_2",0.397399,4
"F1A_10_2",0.400094,4
"F1A_10_2",0.39041,4
"F1A_10_2",0.521551,4
"F1A_10_2",0.437513,4
"F1A_10_2",0.423555,4
"F1A_10_3",0.839869,4
"F1A_10_3",0.843274,4
"F1A_10_3",0.861979,4
"F1A_10_3",0.723697,4
"F1A_10_3",0.69777,4
"F1A_10_3",0.768213,4
"F1A_10_6",0.344295,3
"F1A_10_6",0.352695,3
"F1A_10_6",0.348074,3
"F1A_10_9",0.739568,4
"F1A_10_9",0.663599,4
"F1A_10_9",0.65054,4
"F1A_11_10",0.205822,4
"F1A_11_10",0.515271,4
"F1A_11_10",1.14899,4
"F1A_11_10",0.680897,4
"F1A_11_11",0.201184,4
"F1A_11_11",0.195834,4
"F1A_11_11",0.198444,4
"F1A_11_2",0.610929,4
"F1A_11_2",0.620757,4
"F1A_11_2",0.477124,4
"F1A_11_3",0.482957,4
"F1A_11_3",0.368816,4
"F1A_11_3",0.322631,4
"F1A_12_1",0.140006,4
"F1A_12_1",0.075248,4
"F1A_12_1",0.092159,4
"F1A_12_1",0.098475,4
"F1A_12_1",0.144055,4
"F1A_12_10",0.412291,4
"F1A_12_10",0.52534,4
"F1A_12_10",0.535254,4
"F1A_12_11",0.541815,4
"F1A_12_11",0.347945,4
"F1A_12_11",0.422841,4
"F1A_12_12",0.177412,4
"F1A_12_12",0.169328,4
"F1A_12_12",0.120512,4
"F1A_12_3",0.248373,4
"F1A_12_3",0.268453,4
"F1A_12_3",0.405328,4
"F1A_12_6",0.390071,4
"F1A_12_6",0.38273,4
"F1A_12_6",0.33783,4
"F1A_12_7",0.339558,4
"F1A_12_7",0.350439,4
"F1A_12_7",0.309014,4
"F1A_12_8",0.294536,4
"F1A_12_8",0.20215,4
"F1A_12_8",0.13656,4
"F1A_12_9",0.452831,4
"F1A_12_9",0.503513,4
"F1A_12_9",0.541365,4
"F1A_13_10",0.41162,4
"F1A_13_10",0.344581,4
"F1A_13_10",0.157474,4
"F1A_13_11",0.369423,4
"F1A_13_11",0.308412,4
"F1A_13_11",0.282083,4
"F1A_13_12",0.849141,4
"F1A_13_12",0.600377,4
"F1A_13_12",0.748901,4
"F1A_13_2",0.849155,4
"F1A_13_2",0.815671,4
"F1A_13_2",0.723735,4
"F1A_13_3",0.255412,4
"F1A_13_3",0.251179,4
"F1A_13_3",0.317124,4
"F1A_13_4",0.867837,2
"F1A_13_4",0.413466,2
"F1A_13_4",0.791954,2
"F1A_13_5",0.483591,4
"F1A_13_5",0.497047,4
"F1A_13_5",0.379464,4
"F1A_13_6",0.878154,4
"F1A_13_6",0.751524,4
"F1A_13_6",0.744882,4
"F1A_13_7",0.578056,4
"F1A_13_7",0.467286,4
"F1A_13_7",0.525176,4
"F1A_13_8",0.634685,4
"F1A_13_8",0.702085,4
"F1A_13_8",0.699088,4
"F1A_13_9",0.390447,4
"F1A_13_9",0.354483,4
"F1A_13_9",0.256281,4
"F1A_2_1",0.852231,4
"F1A_2_1",1.047897,4
"F1A_2_1",0.737212,4
"F1A_2_10",0.483805,4
"F1A_2_10",0.362291,4
"F1A_2_10",0.195073,4
"F1A_2_11",0.673171,4
"F1A_2_11",0.734245,4
"F1A_2_11",0.858891,4
"F1A_2_12",0.676489,4
"F1A_2_12",0.568345,4
"F1A_2_12",0.618632,4
"F1A_2_2",0.035387,4
"F1A_2_2",0.033721,4
"F1A_2_2",0.24066,4
"F1A_2_2",0.285644,4
"F1A_2_2",0.051498,4
"F1A_2_2",0.124735,4
"F1A_2_2",0.119534,4
"F1A_2_4",0.422941,4
"F1A_2_4",0.344359,4
"F1A_2_4",0.549998,4
"F1A_2_5",0.999154,4
"F1A_2_5",0.896297,4
"F1A_2_5",0.983105,4
"F1A_2_7",0.294436,4
"F1A_2_7",0.299333,4
"F1A_2_7",0.259584,4
"F1A_2_9",0.694776,4
"F1A_2_9",0.695397,4
"F1A_2_9",0.658534,4
"F1A_3_1",0.815834,4
"F1A_3_1",0.781218,4
"F1A_3_1",0.659597,4
"F1A_3_10",0.498515,4
"F1A_3_10",0.538992,4
"F1A_3_10",0.557779,4
"F1A_3_11",0.620648,3
"F1A_3_11",0.49005,3
"F1A_3_11",0.427523,3
"F1A_3_12",0.921273,4
"F1A_3_12",0.786289,4
"F1A_3_12",0.846893,4
"F1A_3_2",0.696295,4
"F1A_3_2",0.885207,4
"F1A_3_2",0.758662,4
"F1A_3_3",0.853386,4
"F1A_3_3",0.91956,4
"F1A_3_3",1.003824,4
"F1A_3_4",0.135695,4
"F1A_3_4",0.114712,4
"F1A_3_4",0.122316,4
"F1A_3_5",0.592556,4
"F1A_3_5",0.681952,4
"F1A_3_5",0.488731,4
"F1A_3_6",0.424842,4
"F1A_3_6",0.28608,4
"F1A_3_6",0.299756,4
"F1A_3_7",0.645373,4
"F1A_3_7",0.69246,4
"F1A_3_7",0.691581,4
"F1A_3_8",0.995715,4
"F1A_3_8",0.681966,4
"F1A_3_8",0.637174,4
"F1A_3_9",0.722446,4
"F1A_3_9",0.774405,4
"F1A_3_9",0.90789,4
"F1A_4_1",1.056552,4
"F1A_4_1",1.170531,4
"F1A_4_1",1.211991,4
"F1A_4_12",0.868387,4
"F1A_4_12",0.968834,4
"F1A_4_12",0.772992,4
"F1A_4_2",0.466341,4
"F1A_4_2",0.256096,4
"F1A_4_2",0.442703,4
"F1A_4_3",0.83296,4
"F1A_4_3",0.757516,4
"F1A_4_3",0.767781,4
"F1A_4_4",0.667495,4
"F1A_4_4",0.559536,4
"F1A_4_4",0.599405,4
"F1A_4_5",0.191164,4
"F1A_4_5",0.171088,4
"F1A_4_5",0.270984,4
"F1A_4_7",0.807743,4
"F1A_4_7",0.70526,4
"F1A_4_7",0.789167,4
"F1A_4_8",0.732199,4
"F1A_4_8",0.783664,4
"F1A_4_8",0.813307,4
"F1A_4_9",0.695966,4
"F1A_4_9",0.386994,4
"F1A_4_9",0.675419,4
"F1A_5_1",0.528564,4
"F1A_5_1",0.667443,4
"F1A_5_1",0.52113,4
"F1A_5_10",0.354545,4
"F1A_5_10",0.410615,4
"F1A_5_10",0.404587,4
"F1A_5_12",0.274302,4
"F1A_5_12",0.173653,4
"F1A_5_12",0.358046,4
"F1A_5_2",0.327798,4
"F1A_5_2",0.342717,4
"F1A_5_2",0.421227,4
"F1A_5_4",0.968392,4
"F1A_5_4",0.696864,4
"F1A_5_4",0.46203,4
"F1A_5_5",0.312999,4
"F1A_5_5",0.434301,4
"F1A_5_5",0.321021,4
"F1A_5_6",0.154739,3
"F1A_5_6",0.148991,3
"F1A_5_6",0.146125,3
"F1A_5_7",0.60681,4
"F1A_5_7",0.462622,4
"F1A_5_7",0.466002,4
"F1A_5_7",0.678451,4
"F1A_5_8",1.018626,4
"F1A_5_8",0.984166,4
"F1A_5_8",1.105622,4
"F1A_6_1",0.84708,4
"F1A_6_1",0.914503,4
"F1A_6_1",0.893075,4
"F1A_6_11",0.474575,4
"F1A_6_11",0.594926,4
"F1A_6_11",0.468976,4
"F1A_6_12",0.53609,4
"F1A_6_12",0.584047,4
"F1A_6_12",0.724595,4
"F1A_6_2",0.587021,4
"F1A_6_2",0.482961,4
"F1A_6_2",0.426881,4
"F1A_6_5",0.717686,4
"F1A_6_5",0.607721,4
"F1A_6_5",0.645884,4
"F1A_6_5",0.670758,4
"F1A_6_6",0.381624,4
"F1A_6_6",0.462764,4
"F1A_6_6",0.349228,4
"F1A_6_9",0.479055,4
"F1A_6_9",0.381047,4
"F1A_6_9",0.309549,4
"F1A_7_10",0.687044,4
"F1A_7_10",0.757081,4
"F1A_7_10",0.706907,4
"F1A_7_11",0.711319,4
"F1A_7_11",0.774304,4
"F1A_7_11",0.774911,4
"F1A_7_12",0.245585,3
"F1A_7_12",0.373824,3
"F1A_7_12",0.257878,3
"F1A_7_2",0.622438,3
"F1A_7_2",0.736522,3
"F1A_7_2",0.646256,3
"F1A_7_4",0.325378,4
"F1A_7_4",0.448968,4
"F1A_7_4",0.489666,4
"F1A_7_6",0.770537,4
"F1A_7_6",0.731229,4
"F1A_7_6",0.709657,4
"F1A_7_7",0.744776,4
"F1A_7_7",0.710838,4
"F1A_7_7",0.794677,4
"F1A_7_9",0.675399,4
"F1A_7_9",0.636546,4
"F1A_7_9",0.710659,4
"F1A_8_11",0.179664,4
"F1A_8_11",0.408285,4
"F1A_8_11",0.416315,4
"F1A_8_11",0.161204,4
"F1A_8_12",0.108788,4
"F1A_8_12",0.211631,4
"F1A_8_12",0.216587,4
"F1A_8_2",0.861481,4
"F1A_8_2",0.760234,4
"F1A_8_2",0.905475,4
"F1A_8_3",0.187124,4
"F1A_8_3",0.16429,4
"F1A_8_3",0.105925,4
"F1A_8_4",0.355946,4
"F1A_8_4",0.35732,4
"F1A_8_4",0.298022,4
"F1A_8_6",0.72404,4
"F1A_8_6",0.785131,4
"F1A_8_6",0.834124,4
"F1A_8_7",0.543173,4
"F1A_8_7",0.474199,4
"F1A_8_7",0.472437,4
"F1A_9_2",0.922362,4
"F1A_9_2",0.540376,4
"F1A_9_2",0.928141,4
"F1A_9_4",0.371984,4
"F1A_9_4",0.481192,4
"F1A_9_4",0.775094,4
"F1A_9_5",0.623427,4
"F1A_9_5",0.483267,4
"F1A_9_5",0.415046,4
"F1A_9_6",0.4418,4
"F1A_9_6",0.375756,4
"F1A_9_6",0.352521,4
"F1A_9_9",0.307092,4
"F1A_9_9",0.28457,4
"F1A_9_9",0.291711,4
"F1B_1_10",0.597897,4
"F1B_1_10",0.541654,4
"F1B_1_10",0.599986,4
"F1B_1_11",0.709748,4
"F1B_1_11",0.755332,4
"F1B_1_12",0.907296,4
"F1B_1_12",0.523943,4
"F1B_1_12",0.405432,4
"F1B_1_12",0.421858,4
"F1B_1_2",0.292397,4
"F1B_1_2",0.297922,4
"F1B_1_2",0.276865,4
"F1B_1_3",0.402508,3
"F1B_1_3",0.399729,3
"F1B_1_3",0.188672,3
"F1B_1_5",0.717159,4
"F1B_1_5",0.739105,4
"F1B_1_5",0.717561,4
"F1B_1_6",0.762619,4
"F1B_1_6",0.709993,4
"F1B_1_6",0.776113,4
"F1B_1_8",0.882365,4
"F1B_1_8",0.877427,4
"F1B_1_8",0.817517,4
"F1B_1_9",0.740554,4
"F1B_1_9",0.616769,4
"F1B_1_9",0.676843,4
"F1B_10_11",0.342943,4
"F1B_10_11",0.358143,4
"F1B_10_11",0.371534,4
"F1B_10_2",0.720871,4
"F1B_10_2",0.816993,4
"F1B_10_2",0.792896,4
"F1B_10_7",0.417231,4
"F1B_10_7",0.490389,4
"F1B_10_7",0.462528,4
"F1B_10_9",0.598101,4
"F1B_10_9",0.780323,4
"F1B_10_9",0.846573,4
"F1B_11_1",0.621911,3
"F1B_11_1",0.56314,3
"F1B_11_1",0.545437,3
"F1B_11_10",0.727108,4
"F1B_11_10",0.59991,4
"F1B_11_10",0.49988,4
"F1B_11_11",0.594247,4
"F1B_11_11",0.632997,4
"F1B_11_11",0.630181,4
"F1B_11_11",0.806028,4
"F1B_11_12",0.385644,4
"F1B_11_12",0.312271,4
"F1B_11_12",0.250409,4
"F1B_11_3",0.840632,4
"F1B_11_3",0.794346,4
"F1B_11_3",0.767381,4
"F1B_11_4",0.56232,4
"F1B_11_4",0.477723,4
"F1B_11_4",0.498081,4
"F1B_11_6",0.573752,4
"F1B_11_6",0.579023,4
"F1B_11_6",0.729609,4
"F1B_11_8",0.863266,3
"F1B_11_8",0.741814,3
"F1B_11_8",0.711666,3
"F1B_11_8",0.766287,3
"F1B_11_9",0.72022,4
"F1B_11_9",0.750046,4
"F1B_11_9",0.670666,4
"F1B_12_10",0.685935,4
"F1B_12_10",0.622832,4
"F1B_12_10",0.729504,4
"F1B_12_11",0.668886,4
"F1B_12_11",0.647752,4
"F1B_12_11",0.71654,4
"F1B_12_12",0.633582,4
"F1B_12_12",0.700139,4
"F1B_12_12",0.595306,4
"F1B_12_2",0.58374,4
"F1B_12_2",0.674313,4
"F1B_12_2",0.658712,4
"F1B_12_3",0.680603,4
"F1B_12_3",0.806353,4
"F1B_12_3",0.767065,4
"F1B_12_4",0.559499,4
"F1B_12_4",0.665802,4
"F1B_12_4",0.73347,4
"F1B_12_5",0.473033,4
"F1B_12_5",0.453065,4
"F1B_12_5",0.409734,4
"F1B_12_6",0.310396,3
"F1B_12_6",0.275761,3
"F1B_12_6",0.497465,3
"F1B_12_7",0.555215,4
"F1B_12_7",0.642471,4
"F1B_12_7",0.519644,4
"F1B_13_10",0.426673,4
"F1B_13_10",0.462431,4
"F1B_13_10",0.524423,4
"F1B_13_10",0.481228,4
"F1B_13_12",0.362063,4
"F1B_13_12",0.356185,4
"F1B_13_12",0.412416,4
"F1B_13_2",0.851222,3
"F1B_13_2",0.665938,3
"F1B_13_2",0.696077,3
"F1B_13_3",0.797541,3
"F1B_13_3",0.781682,3
"F1B_13_3",0.822731,3
"F1B_13_4",0.460726,4
"F1B_13_4",0.469171,4
"F1B_13_4",0.476231,4
"F1B_13_6",0.371714,4
"F1B_13_6",0.328448,4
"F1B_13_6",0.39185,4
"F1B_13_7",0.623279,3
"F1B_13_7",0.630687,3
"F1B_13_7",0.621023,3
"F1B_13_8",1.092107,3
"F1B_13_8",0.811276,3
"F1B_13_8",1.269569,3
"F1B_13_9",0.628027,3
"F1B_13_9",0.358661,3
"F1B_13_9",0.515633,3
"F1B_2_1",0.634082,4
"F1B_2_1",0.621646,4
"F1B_2_1",0.66118,4
"F1B_2_11",0.25952,4
"F1B_2_11",-0.000225,4
"F1B_2_11",0.333972,4
"F1B_2_11",0.041818,4
"F1B_2_11",0.216217,4
"F1B_2_11",0.076955,4
"F1B_2_11",0.1147,4
"F1B_2_11",0.217582,4
"F1B_2_12",0.570088,4
"F1B_2_12",0.341742,4
"F1B_2_12",0.381844,4
"F1B_2_2",0.780108,4
"F1B_2_2",0.768763,4
"F1B_2_2",0.774572,4
"F1B_2_3",0.65857,4
"F1B_2_3",0.595745,4
"F1B_2_3",0.603734,4
"F1B_2_3",0.660463,4
"F1B_2_5",0.575798,4
"F1B_2_5",0.599734,4
"F1B_2_5",0.549696,4
"F1B_2_6",0.810883,4
"F1B_2_6",0.710821,4
"F1B_2_7",0.046466,3
"F1B_2_7",0.173005,3
"F1B_2_7",0.044319,3
"F1B_2_7",0.068686,3
"F1B_3_10",0.810464,4
"F1B_3_10",0.74628,4
"F1B_3_10",0.776192,4
"F1B_3_3",0.633298,4
"F1B_3_3",0.560715,4
"F1B_3_3",0.592727,4
"F1B_3_4",0.550767,4
"F1B_3_4",0.296128,4
"F1B_3_4",0.226582,4
"F1B_3_8",0.566288,4
"F1B_3_8",0.535685,4
"F1B_3_8",0.621501,4
"F1B_4_10",0.3578,4
"F1B_4_10",0.45525,4
"F1B_4_10",0.451394,4
"F1B_4_2",0.51828,2
"F1B_4_2",0.923881,2
"F1B_4_2",0.54447,2
"F1B_4_2",0.793108,2
"F1B_4_3",0.716015,4
"F1B_4_3",0.632884,4
"F1B_4_3",0.761444,4
"F1B_4_4",0.454725,4
"F1B_4_4",0.465185,4
"F1B_4_4",0.652692,4
"F1B_4_5",0.457391,4
"F1B_4_5",0.589757,4
"F1B_4_5",0.716656,4
"F1B_4_6",0.535578,4
"F1B_4_6",0.575413,4
"F1B_4_6",0.537923,4
"F1B_4_7",0.329553,3
"F1B_4_7",0.326547,3
"F1B_4_7",0.271706,3
"F1B_4_8",0.677349,2
"F1B_4_8",0.601574,2
"F1B_4_8",0.594782,2
"F1B_4_9",0.936375,4
"F1B_4_9",0.944499,4
"F1B_4_9",1.014255,4
"F1B_5_10",0.355407,4
"F1B_5_10",0.4777,4
"F1B_5_10",0.405579,4
"F1B_5_11",0.251242,4
"F1B_5_11",0.058481,4
"F1B_5_11",0.072114,4
"F1B_5_12",0.80174,4
"F1B_5_12",0.975103,4
"F1B_5_12",0.807169,4
"F1B_5_2",0.7948,4
"F1B_5_2",0.850575,4
"F1B_5_2",0.80731,4
"F1B_5_4",0.579644,4
"F1B_5_4",1.011786,4
"F1B_5_4",0.807101,4
"F1B_5_5",0.703458,4
"F1B_5_5",0.690791,4
"F1B_5_5",0.719937,4
"F1B_5_6",0.664139,4
"F1B_5_6",0.760206,4
"F1B_5_6",0.74545,4
"F1B_6_11",0.6254,3
"F1B_6_11",0.597753,3
"F1B_6_11",0.664318,3
"F1B_6_12",0.415774,4
"F1B_6_12",0.383786,4
"F1B_6_12",0.359253,4
"F1B_6_3",0.526551,4
"F1B_6_3",0.536477,4
"F1B_6_3",0.539608,4
"F1B_6_4",0.524866,4
"F1B_6_4",0.340277,4
"F1B_6_4",0.616656,4
"F1B_6_5",0.506634,4
"F1B_6_5",0.661146,4
"F1B_6_5",0.593254,4
"F1B_6_7",0.823277,4
"F1B_6_7",0.816534,4
"F1B_6_7",0.583994,4
"F1B_6_9",0.670234,2
"F1B_6_9",0.708727,2
"F1B_6_9",0.732101,2
"F1B_7_1",0.381755,4
"F1B_7_1",0.446755,4
"F1B_7_1",0.450743,4
"F1B_7_10",0.536894,4
"F1B_7_10",0.502275,4
"F1B_7_10",0.505449,4
"F1B_7_11",0.654001,4
"F1B_7_11",0.674432,4
"F1B_7_11",0.798345,4
"F1B_7_12",1.018696,4
"F1B_7_12",0.983081,4
"F1B_7_12",1.045538,4
"F1B_7_5",0.36413,4
"F1B_7_5",0.661084,4
"F1B_7_5",0.254377,4
"F1B_7_6",0.762466,4
"F1B_7_6",0.680574,4
"F1B_7_6",0.674993,4
"F1B_7_8",0.398755,4
"F1B_7_8",0.418082,4
"F1B_7_8",0.360881,4
"F1B_7_9",0.113541,3
"F1B_7_9",0.187626,3
"F1B_7_9",0.166996,3
"F1B_8_1",0.389926,4
"F1B_8_1",0.406829,4
"F1B_8_1",0.398473,4
"F1B_8_10",0.372162,4
"F1B_8_10",0.452854,4
"F1B_8_10",0.448574,4
"F1B_8_11",0.904981,4
"F1B_8_11",0.915008,4
"F1B_8_11",0.761941,4
"F1B_8_12",0.683668,4
"F1B_8_12",0.639798,4
"F1B_8_12",0.775546,4
"F1B_8_2",0.385079,2
"F1B_8_2",0.30365,2
"F1B_8_2",0.447989,2
"F1B_8_3",1.110085,4
"F1B_8_3",1.073998,4
"F1B_8_3",0.920253,4
"F1B_8_4",0.813524,4
"F1B_8_4",0.80684,4
"F1B_8_4",0.983926,4
"F1B_8_5",0.881991,4
"F1B_8_5",0.780825,4
"F1B_8_5",0.904564,4
"F1B_8_6",0.711328,4
"F1B_8_6",0.766192,4
"F1B_8_6",0.712137,4
"F1B_8_8",0.434201,4
"F1B_8_8",0.476926,4
"F1B_8_8",0.490883,4
"F1B_8_9",0.76317,3
"F1B_8_9",0.8091,3
"F1B_8_9",0.934742,3
"F1B_9_1",0.704233,3
"F1B_9_1",0.654715,3
"F1B_9_1",0.522651,3
"F1B_9_10",0.772347,3
"F1B_9_10",0.843579,3
"F1B_9_10",0.835714,3
"F1B_9_11",0.845349,4
"F1B_9_11",0.904857,4
"F1B_9_11",0.886585,4
"F1B_9_12",0.510431,4
"F1B_9_12",0.508572,4
"F1B_9_12",0.528621,4
"F1B_9_2",0.403119,4
"F1B_9_2",0.308142,4
"F1B_9_2",0.495356,4
"F1B_9_3",0.505082,4
"F1B_9_3",0.494824,4
"F1B_9_3",0.483557,4
"F1B_9_4",0.879639,4
"F1B_9_4",0.686817,4
"F1B_9_4",0.645213,4
"F1B_9_5",0.652931,4
"F1B_9_5",0.806607,4
"F1B_9_5",0.720012,4
"F1B_9_6",0.373776,4
"F1B_9_6",0.3783,4
"F1B_9_6",0.396654,4
"F1B_9_7",0.62385,4
"F1B_9_7",0.578512,4
"F1B_9_7",0.474274,4
